book_id,title,author,genres,rating,ratings_count,publication_year,image_url,description
101,The Metamorphosis,Franz Kafka,"Classic, Absurdist Fiction, Literature, Novella, Philosophy",3.84,920000,1915,https://images.unsplash.com/photo-1544716278-ca5e3f4abd8c?w=500&auto=format&fit=crop&q=60,"One morning, Gregor Samsa wakes from troubled dreams to find himself transformed in his bed into a monstrous insect-like creature, forcing his family to confront their isolation, alienation, and grotesque absurdity."
102,The Trial,Franz Kafka,"Classic, Absurdist Fiction, Literature, Dystopian, Philosophy",3.96,410000,1925,https://images.unsplash.com/photo-1509198397868-475647b2a1e5?w=500&auto=format&fit=crop&q=60,"Josef K., a respectable bank officer, is suddenly arrested and prosecuted by an inaccessible and bizarre judicial authority, with the nature of his crime never revealed to him in an impenetrable bureaucratic nightmare."
103,The Castle,Franz Kafka,"Classic, Absurdist Fiction, Literature, Psychological, Philosophy",3.91,180000,1926,https://images.unsplash.com/photo-1518770660439-4636190af475?w=500&auto=format&fit=crop&q=60,"A land surveyor known only as K. arrives in a snowbound village governed by an enigmatic, inaccessible bureaucracy headquartered in a castle overlooking the town."
104,Letters to Milena,Franz Kafka,"Memoir, Letters, Non-Fiction, Romance, Philosophy",4.24,89000,1952,https://images.unsplash.com/photo-1457369804613-52c61a468e7d?w=500&auto=format&fit=crop&q=60,"Kafka's passionate, desperate, and agonizing love letters to Milena Jesenska, revealing his deepest psychological vulnerabilities, intellectual brilliance, and haunting self-doubts."
105,In the Penal Colony,Franz Kafka,"Classic, Absurdist Fiction, Horror, Novella, Philosophy",3.97,95000,1919,https://images.unsplash.com/photo-1507668077129-56e32842fceb?w=500&auto=format&fit=crop&q=60,"An explorer witnesses the gruesome ritual execution apparatus on an island penal colony, examining justice, cruelty, obsolete tradition, and institutional dogmatism."
18,1984,George Orwell,"Dystopian, Classic, Political Fiction, Literature",4.19,4200000,1949,https://images.unsplash.com/photo-1543002588-bfa74002ed7e?w=500&auto=format&fit=crop&q=60,"Winston Smith lives in a totalitarian society monitored by the all-seeing Big Brother, where independent thought is outlawed and the Ministry of Truth rewrites history."
19,Animal Farm,George Orwell,"Classic, Satire, Political Fiction, Literature",3.98,3100000,1945,https://images.unsplash.com/photo-1516979187457-637abb4f9353?w=500&auto=format&fit=crop&q=60,"A timeless allegorical novella detailing the revolution of farm animals against their human master, only to see power corrupt their new leader pig Napoleon."
106,Homage to Catalonia,George Orwell,"Non-Fiction, History, Memoir, War, Political",4.16,140000,1938,https://images.unsplash.com/photo-1506744038136-46273834b3fb?w=500&auto=format&fit=crop&q=60,"Orwell's firsthand account of fighting alongside socialist and anti-fascist militia in the Spanish Civil War, experiencing revolution, trench warfare, and betrayal."
107,Down and Out in Paris and London,George Orwell,"Memoir, Non-Fiction, Biography, Social Commentary, Classic",4.09,180000,1933,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=500&auto=format&fit=crop&q=60,"A visceral memoir documenting extreme poverty, survival in squalid hotel kitchens in Paris, and life among tramps on the roads of London."
108,Burmese Days,George Orwell,"Classic, Historical Fiction, Political Fiction, Literature",3.86,85000,1934,https://images.unsplash.com/photo-1512820790803-83ca734da794?w=500&auto=format&fit=crop&q=60,"Based on Orwell's years in the Indian Imperial Police in Burma, exposing the corruption, racism, and disillusionment at the tail end of the British Empire."
50,Crime and Punishment,Fyodor Dostoevsky,"Classic, Philosophical Fiction, Literature, Psychological",4.26,820000,1866,https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=500&auto=format&fit=crop&q=60,"Impoverished former student Raskolnikov commits a calculated murder in Saint Petersburg, followed by a relentless mental ordeal of guilt, fevered paranoia, and spiritual redemption."
51,The Brothers Karamazov,Fyodor Dostoevsky,"Classic, Philosophical Fiction, Literature, Family Drama",4.38,310000,1880,https://images.unsplash.com/photo-1457369804613-52c61a468e7d?w=500&auto=format&fit=crop&q=60,"A passionate philosophical novel that enters into ethical debates of God, free will, and morality through the turbulent lives of three brothers and the murder of their father."
109,Notes from Underground,Fyodor Dostoevsky,"Classic, Philosophical Fiction, Existentialism, Literature, Psychological",4.14,380000,1864,https://images.unsplash.com/photo-1507668077129-56e32842fceb?w=500&auto=format&fit=crop&q=60,"The cynical diary of an alienated, bitter former civil servant living in Saint Petersburg, offering a devastating critique of rational utopianism, determinism, and human spite."
110,The Idiot,Fyodor Dostoevsky,"Classic, Philosophical Fiction, Literature, Psychological Drama",4.2,210000,1869,https://images.unsplash.com/photo-1516979187457-637abb4f9353?w=500&auto=format&fit=crop&q=60,"Prince Myshkin, a gentle, saintly, and guileless epileptic nobleman, returns to Russian society only to have his pure goodness clash tragically with corruption, jealousy, and greed."
111,Demons (The Possessed),Fyodor Dostoevsky,"Classic, Philosophical Fiction, Political Drama, Literature",4.24,120000,1872,https://images.unsplash.com/photo-1509198397868-475647b2a1e5?w=500&auto=format&fit=crop&q=60,"A terrifying prophetic examination of radical revolutionary nihilism in a provincial Russian town, plotting conspiracy, murder, and moral decay."
112,White Nights,Fyodor Dostoevsky,"Classic, Romance, Literature, Novella, Psychological",4.15,260000,1848,https://images.unsplash.com/photo-1518709268805-4e9042af9f23?w=500&auto=format&fit=crop&q=60,"A lonely, dreamy narrator wanders the luminous summer twilight of Saint Petersburg and falls in unrequited love with a distressed young woman across four magical nights."
57,Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin,"Computer Science, Software Engineering, Programming, Tech",4.4,72000,2008,https://images.unsplash.com/photo-1555066931-4365d14bab8c?w=500&auto=format&fit=crop&q=60,"Even bad code can function. But if code isn't clean, it can bring a development organization to its knees. Uncle Bob presents a revolutionary paradigm on how to write readable, maintainable, and robust code."
58,The Clean Coder: A Code of Conduct for Professional Programmers,Robert C. Martin,"Computer Science, Software Engineering, Career, Tech",4.31,31000,2011,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?w=500&auto=format&fit=crop&q=60,"Practical advice about the discipline, standards, ethics, and practices of true software craftsmanship, from time management to estimates, coding, refactoring, and testing."
59,The Pragmatic Programmer: Your Journey to Mastery,"David Thomas, Andrew Hunt","Computer Science, Software Engineering, Programming, Tech",4.54,89000,1999,https://images.unsplash.com/photo-1526374965328-7f61d4dc18c5?w=500&auto=format&fit=crop&q=60,One of the most significant books in modern software engineering. Cuts through the increasing specialization and technicalities to examine the core process of crafting flexible and working software.
60,Design Patterns: Elements of Reusable Object-Oriented Software,"Erich Gamma, Richard Helm, Ralph Johnson, John Vlissides","Computer Science, Software Architecture, Programming, Tech",4.22,48000,1994,https://images.unsplash.com/photo-1555066931-4365d14bab8c?w=500&auto=format&fit=crop&q=60,"Captures 23 classic software design patterns that solve recurring problems in object-oriented design, defining terminology and blueprints used across the computing industry."
61,Designing Data-Intensive Applications,Martin Kleppmann,"Computer Science, Distributed Systems, Database, Tech, Architecture",4.73,54000,2017,https://images.unsplash.com/photo-1544383835-bda2bc66a55d?w=500&auto=format&fit=crop&q=60,"An exhaustive, indispensable deep-dive into the principles and tradeoffs of data systems, databases, distributed transactions, consensus algorithms, streaming, and batch processing."
62,Introduction to Algorithms (CLRS),"Thomas H. Cormen, Charles E. Leiserson, Ronald L. Rivest, Clifford Stein","Computer Science, Algorithms, Mathematics, Academia, Tech",4.35,67000,1990,https://images.unsplash.com/photo-1509228468518-180dd4864904?w=500&auto=format&fit=crop&q=60,"The definitive comprehensive guide and textbook covering algorithms, data structures, graph theory, dynamic programming, and computational complexity."
63,Grokking Algorithms: An Illustrated Guide,Aditya Bhargava,"Computer Science, Algorithms, Programming, Education, Tech",4.59,42000,2016,https://images.unsplash.com/photo-1516321318423-f06f85e504b3?w=500&auto=format&fit=crop&q=60,"A fully illustrated, friendly guide that teaches you how to apply common algorithms to practical problems like search, sorting, graphs, and dynamic programming."
64,Refactoring: Improving the Design of Existing Code,Martin Fowler,"Computer Science, Software Engineering, Programming, Tech",4.31,39000,1999,https://images.unsplash.com/photo-1555066931-4365d14bab8c?w=500&auto=format&fit=crop&q=60,"Explains the principles of refactoring software, identifying code smells, and step-by-step techniques to improve internal code structure without changing observable behavior."
65,Code Complete: A Practical Handbook of Software Construction,Steve McConnell,"Computer Science, Software Engineering, Programming, Tech",4.3,35000,1993,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?w=500&auto=format&fit=crop&q=60,"Synthesizes effective software engineering practices into clear, pragmatic guidance for creating high-quality code, defensive programming, and architecture."
66,Structure and Interpretation of Computer Programs (SICP),"Harold Abelson, Gerald Jay Sussman","Computer Science, Programming, Lisp, Academia, Tech",4.49,18000,1984,https://images.unsplash.com/photo-1526374965328-7f61d4dc18c5?w=500&auto=format&fit=crop&q=60,"The legendary MIT introductory computer science text teaching the deep conceptual foundations of computation, abstraction, interpreters, and metalinguistic abstraction using Scheme/Lisp."
67,You Don't Know JS: Scope & Closures,Kyle Simpson,"Computer Science, JavaScript, Web Development, Programming, Tech",4.46,21000,2014,https://images.unsplash.com/photo-1516321318423-f06f85e504b3?w=500&auto=format&fit=crop&q=60,"An in-depth look at JavaScript's lexical scope, lexical this, function scopes, block scopes, and closures, uncovering the exact runtime mechanics of the language."
68,"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow",Aurelien Geron,"Machine Learning, Artificial Intelligence, Python, Data Science, Tech",4.67,31000,2019,https://images.unsplash.com/photo-1555066931-4365d14bab8c?w=500&auto=format&fit=crop&q=60,"Through concrete examples, minimal theory, and production-ready Python frameworks, this book shows you how to build intelligent systems using linear models, random forests, and deep neural networks."
69,Deep Learning,"Ian Goodfellow, Yoshua Bengio, Aaron Courville","Machine Learning, Deep Learning, Artificial Intelligence, Academia, Tech",4.39,14000,2016,https://images.unsplash.com/photo-1509228468518-180dd4864904?w=500&auto=format&fit=crop&q=60,"The definitive textbook on deep learning, introducing mathematical concepts in linear algebra and probability before covering modern feedforward nets, convolutional networks, and generative models."
113,Code: The Hidden Language of Computer Hardware and Software,Charles Petzold,"Computer Science, Hardware, History of Computing, Electronics, Tech",4.68,45000,1999,https://images.unsplash.com/photo-1518770660439-4636190af475?w=500&auto=format&fit=crop&q=60,"A brilliant, poetic, and accessible journey through flashlights, telegraphs, logic gates, binary relays, and microprocessors to show how humans created modern computers from simple mechanisms."
114,Computer Systems: A Programmer's Perspective (CS:APP),"Randal E. Bryant, David R. O'Hallaron","Computer Science, Systems Programming, Assembly, Memory Architecture, Tech",4.7,28000,2003,https://images.unsplash.com/photo-1555066931-4365d14bab8c?w=500&auto=format&fit=crop&q=60,"Explains the underlying hardware, machine-level representations, compiler optimizations, processor architectures, memory hierarchies, virtual memory, and system-level I/O from a programmer's viewpoint."
115,Operating Systems: Three Easy Pieces (OSTEP),"Remzi H. Arpaci-Dusseau, Andrea C. Arpaci-Dusseau","Computer Science, Operating Systems, Concurrency, Virtualization, Tech",4.72,19000,2018,https://images.unsplash.com/photo-1526374965328-7f61d4dc18c5?w=500&auto=format&fit=crop&q=60,"An engaging and rigorous textbook dissecting the fundamental pillars of operating systems: virtualization (CPU and memory), concurrency (threads and locks), and persistence (file systems and RAID)."
116,System Design Interview – An Insider's Guide,Alex Xu,"Computer Science, System Design, Distributed Systems, Software Engineering, Tech",4.62,36000,2020,https://images.unsplash.com/photo-1544383835-bda2bc66a55d?w=500&auto=format&fit=crop&q=60,"A visual and practical roadmap with real-world architectural blueprints for scaling systems: rate limiters, key-value stores, distributed message queues, chat systems, search indexers, and YouTube-scale CDNs."
117,Database Internals: A Deep Dive into Distributed Systems,Alex Petrov,"Computer Science, Database, Distributed Systems, Storage Engines, Tech",4.65,12000,2019,https://images.unsplash.com/photo-1509228468518-180dd4864904?w=500&auto=format&fit=crop&q=60,"Examines the low-level engine mechanics of modern relational and NoSQL storage systems: B-trees, LSM-trees, write-ahead logs, Raft consensus, two-phase commit, and distributed coordination."
118,Artificial Intelligence: A Modern Approach (AIMA),"Stuart Russell, Peter Norvig","Computer Science, Artificial Intelligence, Machine Learning, Robotics, Tech",4.52,52000,1995,https://images.unsplash.com/photo-1516321318423-f06f85e504b3?w=500&auto=format&fit=crop&q=60,"The world's leading universal textbook on artificial intelligence, introducing rational agents, heuristic search, constraint satisfaction, probabilistic reasoning, reinforcement learning, and neural nets."
119,"Fluent Python: Clear, Concise, and Effective Programming",Luciano Ramalho,"Computer Science, Python, Programming, Software Engineering, Tech",4.74,29000,2015,https://images.unsplash.com/photo-1517694712202-14dd9538aa97?w=500&auto=format&fit=crop&q=60,"Takes you on a journey through Python's unique data model, dunder methods, generators, coroutines with asyncio, meta-programming, and modern type hints to write truly Pythonic code."
120,The Rust Programming Language,"Steve Klabnik, Carol Nichols","Computer Science, Rust, Systems Programming, Memory Safety, Tech",4.78,21000,2018,https://images.unsplash.com/photo-1555066931-4365d14bab8c?w=500&auto=format&fit=crop&q=60,"The official guide to Rust, teaching ownership, borrowing, lifetimes, fearless concurrency, smart pointers, cargo packaging, and zero-cost abstractions."
121,The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,"Computer Science, Project Management, Software Engineering, Classic, Tech",4.15,68000,1975,https://images.unsplash.com/photo-1526374965328-7f61d4dc18c5?w=500&auto=format&fit=crop&q=60,"Few books on software project management have been as influential. Brooks shares timeless wisdom on team communication, the 'second-system effect', and why adding manpower to a late software project makes it later."
122,"Compilers: Principles, Techniques, and Tools (The Dragon Book)","Alfred V. Aho, Monica S. Lam, Ravi Sethi, Jeffrey D. Ullman","Computer Science, Compilers, Parsing, Programming Languages, Tech",4.29,24000,1986,https://images.unsplash.com/photo-1509228468518-180dd4864904?w=500&auto=format&fit=crop&q=60,"The landmark classic on compiler design, lexing, parsing, syntax-directed translation, intermediate code generation, and instruction optimization."
